일자,순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
2024.03.23,1,LG,1,1,0,0,1.000,0,1승0무0패,1승,1-0-0,0-0-0
2024.03.23,1,SSG,1,1,0,0,1.000,0,1승0무0패,1승,1-0-0,0-0-0
2024.03.23,1,NC,1,1,0,0,1.000,0,1승0무0패,1승,1-0-0,0-0-0
2024.03.23,1,KIA,1,1,0,0,1.000,0,1승0무0패,1승,1-0-0,0-0-0
2024.03.23,1,삼성,1,1,0,0,1.000,0,1승0무0패,1승,0-0-0,1-0-0
2024.03.23,6,KT,1,0,1,0,0.000,1,0승0무1패,1패,0-0-1,0-0-0
2024.03.23,6,두산,1,0,1,0,0.000,1,0승0무1패,1패,0-0-0,0-0-1
2024.03.23,6,롯데,1,0,1,0,0.000,1,0승0무1패,1패,0-0-0,0-0-1
2024.03.23,6,한화,1,0,1,0,0.000,1,0승0무1패,1패,0-0-0,0-0-1
2024.03.23,6,키움,1,0,1,0,0.000,1,0승0무1패,1패,0-0-0,0-0-1
2024.03.24,1,SSG,2,2,0,0,1.000,0,2승0무0패,2승,2-0-0,0-0-0
2024.03.24,1,KIA,1,1,0,0,1.000,0.5,1승0무0패,1승,1-0-0,0-0-0
2024.03.24,1,삼성,2,2,0,0,1.000,0,2승0무0패,2승,0-0-0,2-0-0
2024.03.24,4,LG,2,1,1,0,0.500,1,1승0무1패,1패,1-0-1,0-0-0
2024.03.24,4,NC,2,1,1,0,0.500,1,1승0무1패,1패,1-0-1,0-0-0
2024.03.24,4,두산,2,1,1,0,0.500,1,1승0무1패,1승,0-0-0,1-0-1
2024.03.24,4,한화,2,1,1,0,0.500,1,1승0무1패,1승,0-0-0,1-0-1
2024.03.24,8,KT,2,0,2,0,0.000,2,0승0무2패,2패,0-0-2,0-0-0
2024.03.24,8,롯데,2,0,2,0,0.000,2,0승0무2패,2패,0-0-0,0-0-2
2024.03.24,8,키움,1,0,1,0,0.000,1.5,0승0무1패,1패,0-0-0,0-0-1
2024.03.26,1,KIA,2,2,0,0,1.000,0,2승0무0패,2승,2-0-0,0-0-0
2024.03.26,2,LG,3,2,1,0,0.667,0.5,2승0무1패,1승,2-0-1,0-0-0
2024.03.26,2,SSG,3,2,1,0,0.667,0.5,2승0무1패,1패,2-0-1,0-0-0
2024.03.26,2,NC,3,2,1,0,0.667,0.5,2승0무1패,1승,2-0-1,0-0-0
2024.03.26,2,두산,3,2,1,0,0.667,0.5,2승0무1패,2승,0-0-0,2-0-1
2024.03.26,2,삼성,3,2,1,0,0.667,0.5,2승0무1패,1패,0-0-0,2-0-1
2024.03.26,2,한화,3,2,1,0,0.667,0.5,2승0무1패,2승,0-0-0,2-0-1
2024.03.26,8,KT,3,0,3,0,0.000,2.5,0승0무3패,3패,0-0-3,0-0-0
2024.03.26,8,롯데,3,0,3,0,0.000,2.5,0승0무3패,3패,0-0-0,0-0-3
2024.03.26,8,키움,2,0,2,0,0.000,2,0승0무2패,2패,0-0-0,0-0-2
2024.03.27,1,KIA,3,3,0,0,1.000,0,3승0무0패,3승,3-0-0,0-0-0
2024.03.27,2,NC,4,3,1,0,0.750,0.5,3승0무1패,2승,3-0-1,0-0-0
2024.03.27,2,두산,4,3,1,0,0.750,0.5,3승0무1패,3승,0-0-0,3-0-1
2024.03.27,2,한화,4,3,1,0,0.750,0.5,3승0무1패,3승,0-0-0,3-0-1
2024.03.27,5,LG,4,2,1,1,0.667,1,2승1무1패,1승,2-1-1,0-0-0
2024.03.27,5,삼성,4,2,1,1,0.667,1,2승1무1패,1패,0-0-0,2-1-1
2024.03.27,7,SSG,4,2,2,0,0.500,1.5,2승0무2패,2패,2-0-2,0-0-0
2024.03.27,8,KT,4,0,4,0,0.000,3.5,0승0무4패,4패,0-0-4,0-0-0
2024.03.27,8,롯데,4,0,4,0,0.000,3.5,0승0무4패,4패,0-0-0,0-0-4
2024.03.27,8,키움,3,0,3,0,0.000,3,0승0무3패,3패,0-0-0,0-0-3
