name,연도,팀명,ERA,G,CG,SHO,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER
구대성,1993,빙그레,2.53,6,0,0,2,1,0,0,0.667,89,21 1/3,18,0,12,0,11,6,6
구대성,1994,한화,2.60,34,2,0,7,8,12,0,0.467,500,121,89,8,58,4,128,42,35
구대성,1995,한화,3.54,47,6,0,4,14,18,0,0.222,660,155,127,18,72,11,161,77,61
구대성,1996,한화,1.88,55,1,0,18,3,24,0,0.857,521,139,79,7,27,6,183,32,29
구대성,1997,한화,3.16,47,0,0,8,8,25,0,0.500,417,102 2/3,65,7,41,8,134,38,36
구대성,1998,한화,2.55,59,0,0,8,7,24,0,0.533,500,123 2/3,87,5,52,5,129,45,35
구대성,1999,한화,3.09,55,0,0,8,9,26,0,0.471,503,119 1/3,95,13,48,5,138,44,41
구대성,2000,한화,2.77,48,0,0,6,7,21,0,0.462,540,133 1/3,98,13,47,8,136,47,41
구대성,2006,한화,1.82,59,0,0,3,4,37,1,0.429,282,69 1/3,56,4,18,5,76,17,14
구대성,2007,한화,3.19,43,0,0,1,6,26,0,0.143,173,42 1/3,41,3,12,0,37,17,15
구대성,2008,한화,3.48,38,0,0,2,3,0,9,0.400,167,41 1/3,39,2,14,2,29,17,16
구대성,2009,한화,3.72,71,0,0,0,0,1,8,-,224,55 2/3,54,5,11,3,56,24,23
구대성,2010,한화,9.64,7,0,0,0,1,0,0,0.000,25,4 2/3,7,2,3,0,3,6,5
김병현,2012,넥센,5.66,19,0,0,3,8,0,3,0.273,294,62,65,6,34,14,43,44,39
김병현,2013,넥센,5.26,15,0,0,5,4,0,0,0.556,334,75 1/3,71,7,36,13,43,46,44
김병현,2014,KIA,7.10,21,1,0,3,6,0,0,0.333,330,71,88,5,27,13,66,58,56
김병현,2015,KIA,6.98,23,0,0,0,5,0,2,0.000,232,49,67,7,18,11,38,38,38
김선우,2008,두산,4.25,21,0,0,6,7,0,0,0.462,448,101 2/3,126,3,23,1,46,62,48
김선우,2009,두산,5.11,29,0,0,11,10,0,0,0.524,649,148,176,18,48,6,89,93,84
김선우,2010,두산,4.02,28,1,0,13,6,0,0,0.684,662,154 2/3,163,12,50,8,128,77,69
김선우,2011,두산,3.13,28,2,1,16,7,1,0,0.696,732,175 2/3,188,12,35,6,89,68,61
김선우,2012,두산,4.52,28,1,0,6,9,0,0,0.400,691,163 1/3,182,13,41,8,63,91,82
김선우,2013,두산,5.52,17,0,0,5,6,0,0,0.455,267,60 1/3,77,6,18,7,20,41,37
김선우,2014,LG,14.04,6,0,0,0,1,0,0,0.000,44,8 1/3,14,2,4,1,3,13,13
류제국,2013,LG,3.87,20,0,0,12,2,0,0,0.857,485,111 2/3,109,11,50,9,88,50,48
류제국,2014,LG,5.12,27,0,0,9,7,0,0,0.563,661,147 2/3,146,13,58,13,128,100,84
류제국,2015,LG,4.78,24,0,0,4,9,0,0,0.308,572,130,134,16,55,14,88,72,69
류제국,2016,LG,4.30,29,1,1,13,11,0,0,0.542,701,161 1/3,152,14,70,21,138,83,77
류제국,2017,LG,5.35,25,0,0,8,6,0,0,0.571,591,131 1/3,140,10,55,19,107,87,78
류제국,2019,LG,4.22,11,0,0,0,2,0,0,0.000,243,53 1/3,57,5,26,4,31,27,25
박찬호,2012,한화,5.06,23,1,0,5,10,0,0,0.333,552,121,134,11,52,11,68,76,68
봉중근,2007,LG,5.32,24,0,0,6,7,0,0,0.462,498,111 2/3,121,6,53,7,56,71,66
봉중근,2008,LG,2.66,28,0,0,11,8,0,0,0.579,767,186 1/3,153,13,68,12,140,66,55
봉중근,2009,LG,3.29,26,0,0,11,12,0,0,0.478,719,172 1/3,160,13,57,14,127,70,63
봉중근,2010,LG,3.58,28,0,0,10,9,0,0,0.526,752,178 1/3,166,13,69,14,130,74,71
봉중근,2011,LG,4.96,4,0,0,1,2,0,0,0.333,75,16 1/3,13,1,9,5,7,9,9
봉중근,2012,LG,1.18,40,0,0,0,1,26,0,0.000,152,38,26,1,10,4,36,5,5
봉중근,2013,LG,1.33,55,0,0,8,1,38,0,0.889,241,61,44,2,27,3,54,10,9
봉중근,2014,LG,2.90,50,0,0,2,4,30,0,0.333,216,49 2/3,51,2,17,4,45,16,16
봉중근,2015,LG,4.93,47,0,0,5,2,15,0,0.714,223,49 1/3,60,10,23,6,39,28,27
봉중근,2016,LG,4.95,19,0,0,1,0,0,2,1.000,175,36 1/3,41,4,22,2,20,23,20
서재응,2008,KIA,4.08,16,0,0,5,5,0,0,0.500,346,79 1/3,90,7,25,4,45,37,36
서재응,2009,KIA,6.13,21,0,0,5,4,0,0,0.556,367,79 1/3,101,12,30,8,53,56,54
서재응,2010,KIA,3.34,24,0,0,9,7,0,0,0.563,572,140,134,10,29,11,68,53,52
서재응,2011,KIA,4.28,30,1,0,8,9,2,2,0.471,562,130 1/3,144,7,36,11,84,68,62
서재응,2012,KIA,2.59,29,2,2,9,8,0,0,0.529,663,160,143,7,51,7,97,51,46
서재응,2013,KIA,6.54,19,0,0,5,9,0,0,0.357,394,84,116,5,33,4,36,69,61
서재응,2014,KIA,6.40,16,0,0,0,2,0,2,0.000,152,32 1/3,45,6,10,3,18,25,23
서재응,2015,KIA,4.95,9,0,0,1,4,0,0,0.200,174,40,52,5,8,5,16,23,22
송승준,2007,롯데,3.85,25,2,0,5,5,0,0,0.500,504,117,115,13,49,6,76,52,50
송승준,2008,롯데,3.76,26,2,1,12,7,0,0,0.632,663,153 1/3,154,7,70,6,114,78,64
송승준,2009,롯데,4.72,29,3,3,13,8,0,0,0.619,735,167 2/3,175,25,68,8,104,92,88
송승준,2010,롯데,4.39,27,1,0,14,6,0,0,0.700,709,168,156,20,60,9,113,90,82
송승준,2011,롯데,4.18,30,0,0,13,10,0,0,0.565,730,172 1/3,181,17,59,7,126,84,80
송승준,2012,롯데,3.31,28,0,0,7,11,0,0,0.389,687,163,158,12,57,8,117,73,60
송승준,2013,롯데,3.76,29,0,0,12,6,0,0,0.667,720,167 2/3,171,11,64,4,133,74,70
송승준,2014,롯데,5.98,24,0,0,8,11,0,0,0.421,572,122,166,16,43,10,89,91,81
송승준,2015,롯데,4.75,25,0,0,8,7,0,0,0.533,551,125,131,17,46,4,112,71,66
송승준,2016,롯데,8.71,10,0,0,1,2,0,0,0.333,201,41 1/3,62,6,21,2,35,43,40
송승준,2017,롯데,4.21,30,0,0,11,5,0,1,0.688,558,130 1/3,132,19,41,4,113,63,61
송승준,2018,롯데,6.15,22,0,0,3,4,0,0,0.429,361,79,93,8,35,4,68,58,54
송승준,2019,롯데,4.40,11,0,0,0,1,0,0,0.000,64,14 1/3,16,2,6,0,13,7,7
송승준,2020,롯데,6.20,22,0,0,2,2,0,1,0.500,119,24 2/3,30,2,14,3,25,17,17
윤석민,2005,KIA,4.29,53,0,0,3,4,7,0,0.429,372,84,92,8,32,6,49,47,40
윤석민,2006,KIA,2.28,63,0,0,5,6,19,9,0.455,381,94 2/3,81,5,27,4,75,26,24
