날짜,요일,홈,방문,구장_x,관중수,좌석수,점유율,상대,구분
2024/03/24,일,LG,한화,잠실,23750.0,23750,1.0,,
2024/03/26,화,SSG,한화,문학,10541.0,23000,0.458304347826087,,
2024/03/27,수,SSG,한화,문학,11005.0,23000,0.4784782608695652,,
2024/03/28,목,SSG,한화,문학,11755.0,23000,0.5110869565217391,,
2024/03/30,토,한화,KT,대전,12000.0,12000,1.0,,
2024/03/31,일,한화,KT,대전,12000.0,12000,1.0,,
2024/04/02,화,한화,롯데,대전,12000.0,12000,1.0,,
2024/04/04,목,한화,롯데,대전,12000.0,12000,1.0,,
2024/04/06,토,키움,한화,고척,16000.0,16000,1.0,,
2024/04/07,일,키움,한화,고척,16000.0,16000,1.0,,
2024/04/09,화,두산,한화,잠실,23598.0,23750,0.9936,,
2024/04/10,수,두산,한화,잠실,23750.0,23750,1.0,,
2024/04/12,금,한화,KIA,대전,12000.0,12000,1.0,,
2024/04/13,토,한화,KIA,대전,12000.0,12000,1.0,,
2024/04/14,일,한화,KIA,대전,12000.0,12000,1.0,,
2024/04/16,화,NC,한화,창원,4658.0,17891,0.2603543681180482,,
2024/04/19,금,한화,삼성,대전,12000.0,12000,1.0,,
2024/04/20,토,한화,삼성,대전,12000.0,12000,1.0,,
2024/04/21,일,한화,삼성,대전,12000.0,12000,1.0,,
2024/04/23,화,KT,한화,수원,10887.0,18700,0.5821925133689839,,
2024/04/25,목,KT,한화,수원,11247.0,18700,0.6014438502673797,,
2024/04/26,금,한화,두산,대전,12000.0,12000,1.0,,
2024/04/27,토,한화,두산,대전,12000.0,12000,1.0,,
2024/04/28,일,한화,두산,대전,12000.0,12000,1.0,,
2024/05/01,수,한화,SSG,대전,12000.0,12000,1.0,,
2024/05/02,목,한화,SSG,대전,10890.0,12000,0.9075,,
2024/05/03,금,KIA,한화,광주,20500.0,20500,1.0,,
2024/05/04,토,KIA,한화,광주,20500.0,20500,1.0,,
2024/05/09,목,롯데,한화,사직,12774.0,22758,0.5612971262852623,,
2024/05/10,금,한화,키움,대전,12000.0,12000,1.0,,
2024/05/11,토,한화,키움,대전,12000.0,12000,1.0,,
2024/05/12,일,한화,키움,대전,12000.0,12000,1.0,,
