
이름: 김광현(Kwang-Hyun Kim),복귀년도: 2022
전/후반기,G,GS,CG,SHO,W,L,HD,S,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA
전반기,15,15,0,0,9,1,0,0,92.2,22,17,22.00,372,343,76,10,1,4,21,2,2,85,1385,1.05,0.222,0.270,0.562,1.65,0.98,22.96,2.175
후반기,13,13,0,0,4,2,0,0,80.2,26,24,26.00,322,293,65,6,1,6,24,0,3,68,1249,1.10,0.222,0.287,0.598,2.68,0.96,12.83,1.461
월,G,GS,CG,SHO,W,L,HD,S,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA
4월,4,4,0,0,3,0,0,0,25.0,2,1,2.00,92,87,10,4,0,1,5,1,0,23,354,0.60,0.115,0.163,0.358,0.36,0.75,9.76,0.834
5월,5,5,0,0,3,0,0,0,33.0,8,8,8.00,135,118,26,5,0,1,10,1,1,38,483,1.09,0.220,0.285,0.573,2.18,1.18,8.84,0.898
6월,4,4,0,0,2,1,0,0,24.0,8,4,8.00,99,94,24,1,0,0,5,0,0,17,388,1.21,0.255,0.293,0.559,1.50,0.96,3.25,0.291
7월,4,4,0,0,1,0,0,0,25.2,7,7,7.00,100,96,24,0,2,3,3,0,1,17,356,1.05,0.250,0.280,0.665,2.45,0.99,4.77,0.797
8월,5,5,0,0,1,1,0,0,28.2,10,8,10.00,126,109,28,4,0,2,14,0,2,27,493,1.47,0.257,0.352,0.701,2.51,0.98,3.30,0.186
9월,5,5,0,0,3,0,0,0,31.0,9,9,9.00,118,109,23,1,0,2,7,0,1,23,460,0.97,0.211,0.263,0.538,2.61,0.94,6.82,0.818
10월,1,1,0,0,0,1,0,0,6.0,4,4,4.00,24,23,6,1,0,1,1,0,0,8,100,1.17,0.261,0.292,0.727,6.00,0.78,-0.94,-0.188
요일,G,GS,CG,SHO,W,L,HD,S,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA
화,4,4,0,0,2,1,0,0,25.0,12,7,12.00,105,99,24,1,0,1,4,0,1,22,373,1.12,0.242,0.279,0.562,2.52,0.95,-0.24,0.015
수,6,6,0,0,1,2,0,0,36.0,13,12,13.00,148,135,32,5,0,3,11,1,2,40,602,1.19,0.237,0.304,0.645,3.00,0.92,5.37,0.279
목,4,4,0,0,1,0,0,0,25.0,9,9,9.00,98,88,17,1,1,3,8,1,0,24,381,1.00,0.193,0.260,0.590,3.24,1.06,1.76,0.472
금,5,5,0,0,3,0,0,0,35.0,10,10,10.00,137,127,31,5,0,3,7,0,0,16,484,1.09,0.244,0.279,0.633,2.57,0.95,7.86,0.855
토,6,6,0,0,4,0,0,0,34.2,3,3,3.00,135,126,26,2,1,0,7,0,2,31,527,0.95,0.206,0.259,0.497,0.78,0.99,13.36,1.378
일,3,3,0,0,2,0,0,0,17.2,1,0,1.00,71,61,11,2,0,0,8,0,0,20,267,1.08,0.180,0.275,0.488,0.00,1.02,7.69,0.636
시간,G,GS,CG,SHO,W,L,HD,S,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA
14:00,2,2,0,0,2,0,0,0,12.0,0,0,0.00,45,42,7,1,0,0,2,0,0,16,167,0.75,0.167,0.205,0.395,0.00,0.71,6.12,0.457
17:00,7,7,0,0,4,0,0,0,42.2,5,4,5.00,171,154,34,3,0,0,15,0,1,36,671,1.15,0.221,0.294,0.534,0.84,1.13,15.44,1.633
18:00,1,1,0,0,0,0,0,0,3.2,0,0,0.00,14,13,2,0,1,0,0,0,1,4,60,0.55,0.154,0.214,0.522,0.00,0.95,1.54,0.153
18:30,18,18,0,0,7,3,0,0,115.0,43,37,43.00,464,427,98,12,1,10,28,2,3,97,1736,1.10,0.230,0.280,0.613,2.90,0.94,12.68,1.392
이름: 류현진(Hyun-Jin Ryu),복귀년도: 2024
전/후반기,G,GS,CG,SHO,W,L,HD,S,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA
전반기,16,16,0,0,5,5,0,0,92.0,45,37,43.95,391,365,101,11,1,5,20,0,1,80,1493,1.32,0.277,0.314,0.667,3.62,1.09,7.66,0.189
후반기,6,6,0,0,1,2,0,0,33.0,22,20,22.00,149,139,44,4,0,2,7,0,1,25,570,1.55,0.317,0.351,0.739,5.45,1.06,-4.54,-0.518
월,G,GS,CG,SHO,W,L,HD,S,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA
3월,2,2,0,0,0,1,0,0,9.2,7,4,7.00,46,43,14,0,0,0,3,0,0,9,175,1.76,0.326,0.370,0.696,3.72,1.22,-2.25,-0.318
4월,5,5,0,0,2,2,0,0,28.1,21,18,19.95,121,109,27,4,0,1,10,0,0,23,455,1.31,0.248,0.308,0.620,5.72,1.08,-3.85,-0.505
5월,4,4,0,0,1,1,0,0,22.0,8,8,8.00,94,87,26,1,1,0,4,0,1,23,372,1.36,0.299,0.333,0.666,3.27,0.97,4.52,0.228
6월,4,4,0,0,2,0,0,0,25.0,7,5,7.00,102,99,27,4,0,3,3,0,0,17,387,1.20,0.273,0.294,0.698,1.80,1.20,7.19,0.700
7월,5,5,0,0,1,2,0,0,30.0,17,15,17.00,131,124,37,2,0,2,3,0,1,24,487,1.33,0.298,0.315,0.678,4.50,1.09,-0.46,-0.220
8월,2,2,0,0,0,1,0,0,10.0,7,7,7.00,46,42,14,4,0,1,4,0,0,9,187,1.80,0.333,0.391,0.891,6.30,0.92,-2.03,-0.216
요일,G,GS,CG,SHO,W,L,HD,S,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA
화,4,4,0,0,2,0,0,0,25.0,4,3,4.00,101,93,22,2,0,0,5,0,1,23,401,1.08,0.237,0.280,0.538,1.08,1.16,9.40,0.939
수,8,8,0,0,1,4,0,0,47.0,34,29,34.00,211,198,65,10,1,4,7,0,1,39,755,1.53,0.328,0.349,0.798,5.55,1.09,-7.74,-1.009
목,4,4,0,0,2,1,0,0,23.0,7,6,7.00,91,86,17,1,0,0,5,0,0,19,369,0.96,0.198,0.242,0.451,2.35,0.99,6.14,0.603
