연도,KBO MVP,KBO 신인상
2024,- - -,- - -
2023,페디 NC 투수,문동주 한화 투수
2022,이정후 키움 외야수,정철원 두산 투수
2021,미란다 두산 투수,이의리 KIA 투수
2020,로하스 KT 외야수,소형준 KT 투수
2019,린드블럼 두산 투수,정우영 LG 투수
2018,김재환 두산 외야수,강백호 KT 외야수
2017,양현종 KIA 투수,이정후 넥센 내야수
2016,니퍼트 두산 투수,신재영 넥센 투수
2015,테임즈 NC 내야수,구자욱 삼성 내야수
2014,서건창 넥센 내야수,박민우 NC 내야수
2013,박병호 넥센 내야수,이재학 NC 투수
2012,박병호 넥센 내야수,서건창 넥센 내야수
2011,윤석민 KIA 투수,배영섭 삼성 외야수
2010,이대호 롯데 내야수,양의지 두산 포수
2009,김상현 KIA 내야수,이용찬 두산 투수
2008,김광현 SK 투수,최형우 삼성 외야수
2007,리오스 두산 투수,임태훈 두산 투수
2006,류현진 한화 투수,류현진 한화 투수
2005,손민한 롯데 투수,오승환 삼성 투수
2004,배영수 삼성 투수,오주원 현대 투수
2003,이승엽 삼성 내야수,이동학 현대 투수
2002,이승엽 삼성 내야수,조용준 현대 투수
2001,이승엽 삼성 내야수,김태균 한화 내야수
2000,박경완 현대 포수,이승호 SK 투수
1999,이승엽 삼성 내야수,홍성흔 두산 포수
1998,우즈 OB 내야수,김수경 현대 투수
1997,이승엽 삼성 내야수,이병규 LG 외야수
1996,구대성 한화 투수,박재홍 현대 외야수
1995,김상호 OB 외야수,이동수 삼성 내야수
1994,이종범 해태 내야수,류지현 LG 내야수
1993,김성래 삼성 내야수,양준혁 삼성 내야수
1992,장종훈 빙그레 내야수,염종석 롯데 투수
1991,장종훈 빙그레 내야수,조규제 쌍방울 투수
1990,선동열 해태 투수,김동수 LG 포수
1989,선동열 해태 투수,박정현 태평양 투수
1988,김성한 해태 내야수,이용철 MBC 투수
1987,장효조 삼성 외야수,이정훈 빙그레 외야수
1986,선동열 해태 투수,김건우 MBC 투수
1985,김성한 해태 내야수,이순철 해태 내야수
1984,최동원 롯데 투수,윤석환 OB 투수
1983,이만수 삼성 포수,박종훈 OB 외야수
1982,박철순 OB 투수,- - -
