3월,상대,구분,결과,ERA1,TBF,IP,H,HR,BB,HBP,SO,R,ER,ERA2
03.23,LG,선발,패,4.91,21,3 2/3,6,0,3,0,0,5,2,4.91
03.29,KT,선발,,3.00,25,6,8,0,0,0,9,2,2,3.72
04.05,키움,선발,패,18.69,23,4 1/3,9,0,2,0,2,9,9,8.36
04.11,두산,선발,승,0.00,22,6,1,0,2,0,8,0,0,5.85
04.17,NC,선발,,3.86,25,7,3,1,2,0,8,3,3,5.33
04.24,KT,선발,패,9.00,25,5,7,0,2,0,4,7,5,5.91
04.30,SSG,선발,승,1.50,26,6,7,0,2,0,1,2,1,5.21
05.08,롯데,선발,패,9.00,23,5,8,0,0,0,7,5,5,5.65
05.14,NC,선발,,3.00,28,6,8,0,1,1,8,2,2,5.33
05.19,삼성,선발,승,0.00,18,5,3,0,1,0,4,0,0,4.83
05.25,SSG,선발,,1.50,25,6,7,0,2,0,4,1,1,4.50
06.06,KT,선발,승,0.00,24,6,5,0,1,0,3,0,0,4.09
06.12,두산,선발,,0.00,25,6,9,0,0,0,1,2,0,3.75
06.18,키움,선발,승,0.00,28,8,5,0,0,0,8,0,0,3.38
06.23,KIA,선발,,9.00,25,5,8,3,2,0,5,5,5,3.71
07.03,KT,선발,패,2.57,28,7,7,1,0,0,8,2,2,3.62
07.11,키움,선발,,4.50,25,6,6,0,1,0,3,3,3,3.67
07.18,NC,선발,패,5.40,20,5,5,0,1,0,5,4,3,3.76
07.24,삼성,선발,,2.57,29,7,7,0,0,1,5,2,2,3.68
07.31,KT,선발,승,9.00,29,5,12,1,1,0,3,6,5,3.91
08.07,삼성,선발,패,12.60,27,5,12,1,2,0,3,7,7,4.28
08.13,LG,선발,,0.00,19,5,2,0,2,0,6,0,0,4.10
08.18,SSG,선발,승,1.42,25,6 1/3,6,0,1,0,8,1,1,3.97
