Unnamed: 0,구분,이름,출생,포지션,국내입단연도,국내 소속팀,해외진출연도,해외 첫 소속팀,국내복귀,복귀 소속팀,cnt_golden
1,메이저리그,김하성,1995,내야 유틸리티,2014.0,"넥센,키움 히어로즈",2021.0,샌디에이고 파드리스,,,3.0
2,메이저리그,배지환,1999,"내,외야 유틸리티",2019.0,질롱 코리아,2022.0,피츠버그 파이리츠,,,
3,메이저리그,이정후,1998,외야 유틸리티,2017.0,"넥센,키움 히어로즈",2014.0,샌프란시스코 자이언츠,,,
4,메이저리그,김광현,1988,좌완선발,2007.0,SK와이번스,2020.0,세인트루이스 카디널스,2022.0,SSG 랜더스,1.0
5,메이저리그,김동엽,1990,외야수/지명타자,,,2009.0,시카고 컵스,2016.0,삼성라이온즈,
6,메이저리그,김선기,1991,우완투수,,,2009.0,시애틀 매리너스,2018.0,키움히어로즈,
7,메이저리그,김재윤,1990,투수,,,2009.0,애리조나 다이아몬드백스,2015.0,삼성라이온즈,
8,메이저리그,김현수,1988,좌익수/1루수,2006.0,두산베어스,2016.0,볼티모어 오리올스,2018.0,LG 트윈스,3.0
9,메이저리그,류현진,1987,좌완선발,2006.0,한화 이글스,2013.0,LA다저스,2024.0,한화 이글스,2.0
10,메이저리그,박병호,1986,1루수,2005.0,LG트윈스,2016.0,미네소타 트윈스,2018.0,넥센히어로즈,6.0
11,메이저리그,손호영,1994,내야수,,,2014.0,시카고 컵스,2019.0,롯데 자이언츠,
12,메이저리그,양현종,1988,좌완투수,2007.0,KIA타이거즈,2021.0,텍사스 레이져스,2022.0,KIA 타이거즈,1.0
13,메이저리그,오승환,1982,우완투수,2005.0,삼성라이온즈,2016.0,세인트루이스 카디널스,2019.0,삼성라이온즈,
14,메이저리그,윤정현,1993,좌완투수,,,,,,키움히어로즈,
15,메이저리그,이학수,1990,내야수,,,2008.0,시카고 컵스,2019.0,롯데 자이언츠,
16,메이저리그,장필준,1988,우완투수,,,2000.0,LA에인절스 오브 애너하임,2015.0,삼성라이온즈,
17,메이저리그,진우영,2001,우완투수,,,,,2024.0,LG 트윈스,
18,메이저리그,추신수,1982,,,,2005.0,시애틀 매리너스,2021.0,SSG 랜더스,
19,메이저리그,하재훈,1990,외야수,,,2008.0,시카고 컵스,2019.0,SSG 랜더스,
20,메이저리그,황재균,1987,3루수,2006.0,현대유니콘스,2017.0,샌프란시스코 자이언츠,2018.0,KT 위즈,1.0
21,메이저리그,구대성,1969,좌완투수,,한화이글스,2005.0,뉴욕메츠,,,1.0
22,메이저리그,김병현,1979,우완투수,,,1999.0,애리조나 다이아몬드 백스,2012.0,넥센히어로즈,
23,메이저리그,김선우,1977,우완투수,,,2001.0,보스턴 레드삭스,2008.0,두산베어즈,
24,메이저리그,김성민,1993,내야수/포수,,,2011.0,오클랜드 애슬레틱스,2019.0,(SK 와이번스),
25,메이저리그,류제국,1983,우완투수,,,2001.0,시카고 컵스,2013.0,LG 트윈스,
26,메이저리그,박찬호,1973,투수,,,1994.0,LA 다저스,2011.0,한화 이글스,
27,메이저리그,봉중근,1980,좌완투수,,,2002.0,애틀란타 브레이브스,2007.0,LG 트윈스,
28,메이저리그,서재응,1977,우완투수,,,2002.0,뉴욕메츠,2008.0,KIA 타이거즈,
29,메이저리그,송승준,1980,우완투수,,,1999.0,보스턴 레드삭스,2007.0,롯데 자이언츠,
30,메이저리그,윤석민,1986,우완투수,2005.0,KIA타이거즈,2014.0,노포크 타이즈,2015.0,KIA타이거즈,1.0
31,메이저리그,이대은,1989,우완투수,,,2007.0,시카고 컵스,2019.0,KT위즈,
32,메이저리그,이대호,1982,1루수/지명타자,2001.0,롯데자이언츠,2016.0,시애틀 매리너스,2017.0,롯데 자이언츠,7.0
33,메이저리그,이상훈,1971,좌완투수,,LG트윈스,2000.0,보스턴 레드삭스,2001.0,LG트윈스,1.0
34,메이저리그,임창용,1977,사이드암투수,1995.0,해태타이거즈,2013.0,시카고 컵스,2014.0,삼성라이온즈,
35,메이저리그,최희섭,1979,,,,2002.0,시카고 컵스,2007.0,KIA타이거즈,1.0
36,NPB 리그,김태균,1982,1루수,2001.0,한화이글스,2009.0,지바 롯데 마린즈,2012.0,한화이글스,3.0
37,NPB 리그,이범호,1981,내야수,2000.0,한화이글스,2009.0,소프트뱅크 호크스,2011.0,KIA타이거즈,2.0
38,NPB 리그,이병규,1974,외야수,1997.0,LG트위스,2007.0,주니치 드래곤즈,2010.0,LG트윈스,2.0
39,NPB 리그,이승엽,1976,1루수,1995.0,삼성라이온즈,2024.0,지바 롯데 마린스,2012.0,삼성라이온즈,10.0
