날짜,요일,홈,방문,구장_x,관중수,좌석수,점유율,상대,구분,결과,ERA1,TBF,IP,H,HR,BB,HBP,SO,R,ER,ERA2
2024/03/23,토,LG,한화,잠실,23750.0,23750,1.0,LG,선발,패,4.91,21.0,3 2/3,6.0,0.0,3.0,0.0,0.0,5.0,2.0,4.91
2024/03/24,일,LG,한화,잠실,23750.0,23750,1.0,,,,,,,,,,,,,,
2024/03/26,화,SSG,한화,문학,10541.0,23000,0.458304347826087,,,,,,,,,,,,,,
2024/03/27,수,SSG,한화,문학,11005.0,23000,0.47847826086956524,,,,,,,,,,,,,,
2024/03/28,목,SSG,한화,문학,11755.0,23000,0.5110869565217391,,,,,,,,,,,,,,
2024/03/29,금,한화,KT,대전,12000.0,12000,1.0,KT,선발,,3.0,25.0,6,8.0,0.0,0.0,0.0,9.0,2.0,2.0,3.72
2024/03/30,토,한화,KT,대전,12000.0,12000,1.0,,,,,,,,,,,,,,
2024/03/31,일,한화,KT,대전,12000.0,12000,1.0,,,,,,,,,,,,,,
2024/04/02,화,한화,롯데,대전,12000.0,12000,1.0,,,,,,,,,,,,,,
2024/04/04,목,한화,롯데,대전,12000.0,12000,1.0,,,,,,,,,,,,,,
2024/04/05,금,키움,한화,고척,16000.0,16000,1.0,키움,선발,패,18.69,23.0,4 1/3,9.0,0.0,2.0,0.0,2.0,9.0,9.0,8.36
2024/04/06,토,키움,한화,고척,16000.0,16000,1.0,,,,,,,,,,,,,,
2024/04/07,일,키움,한화,고척,16000.0,16000,1.0,,,,,,,,,,,,,,
2024/04/09,화,두산,한화,잠실,23598.0,23750,0.9936,,,,,,,,,,,,,,
2024/04/10,수,두산,한화,잠실,23750.0,23750,1.0,,,,,,,,,,,,,,
2024/04/11,목,두산,한화,잠실,22157.0,23750,0.9329263157894737,두산,선발,승,0.0,22.0,6,1.0,0.0,2.0,0.0,8.0,0.0,0.0,5.85
2024/04/12,금,한화,KIA,대전,12000.0,12000,1.0,,,,,,,,,,,,,,
2024/04/13,토,한화,KIA,대전,12000.0,12000,1.0,,,,,,,,,,,,,,
2024/04/14,일,한화,KIA,대전,12000.0,12000,1.0,,,,,,,,,,,,,,
2024/04/16,화,NC,한화,창원,4658.0,17891,0.2603543681180482,,,,,,,,,,,,,,
2024/04/17,수,NC,한화,창원,9921.0,17891,0.5545246213179811,NC,선발,,3.86,25.0,7,3.0,1.0,2.0,0.0,8.0,3.0,3.0,5.33
2024/04/19,금,한화,삼성,대전,12000.0,12000,1.0,,,,,,,,,,,,,,
2024/04/20,토,한화,삼성,대전,12000.0,12000,1.0,,,,,,,,,,,,,,
2024/04/21,일,한화,삼성,대전,12000.0,12000,1.0,,,,,,,,,,,,,,
2024/04/23,화,KT,한화,수원,10887.0,18700,0.5821925133689839,,,,,,,,,,,,,,
