name,연도,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E
이대호,2001,롯데,0.500,6,9,8,0,4,0,0,0,4,1,0,0,1,0,2,0,0.500,0.556,0
이대호,2002,롯데,0.278,74,281,255,27,71,19,0,8,114,32,1,0,19,7,66,6,0.447,0.345,9
이대호,2003,롯데,0.243,54,173,152,8,37,6,0,4,55,13,0,2,13,6,37,3,0.362,0.327,1
이대호,2004,롯데,0.248,132,514,444,52,110,26,0,20,196,68,4,3,38,20,78,21,0.441,0.331,13
이대호,2005,롯데,0.266,126,512,447,53,119,16,2,21,202,80,1,0,47,15,76,12,0.452,0.354,12
이대호,2006,롯데,0.336,122,499,443,71,149,26,0,26,253,88,0,1,39,16,55,11,0.571,0.409,7
이대호,2007,롯데,0.335,121,514,415,79,139,21,1,29,249,87,1,0,81,13,55,9,0.600,0.453,4
이대호,2008,롯데,0.301,122,527,435,73,131,23,0,18,208,94,0,1,62,18,56,9,0.478,0.400,11
이대호,2009,롯데,0.293,133,549,478,73,140,28,1,28,254,100,0,0,51,16,65,13,0.531,0.377,15
이대호,2010,롯데,0.364,127,552,478,99,174,13,0,44,319,133,0,2,61,10,77,15,0.667,0.444,12
이대호,2011,롯데,0.357,133,570,493,76,176,26,1,27,285,113,2,0,63,8,60,22,0.578,0.433,7
이대호,2017,롯데,0.320,142,608,540,73,173,13,0,34,288,111,1,1,50,15,84,22,0.533,0.391,8
이대호,2018,롯데,0.333,144,604,543,81,181,30,0,37,322,125,0,1,43,14,75,18,0.593,0.394,3
이대호,2019,롯데,0.285,135,549,485,48,138,23,1,16,211,88,0,0,47,10,65,19,0.435,0.355,1
이대호,2020,롯데,0.292,144,611,542,67,158,27,0,20,245,110,1,0,53,5,68,21,0.452,0.354,2
이대호,2021,롯데,0.286,114,465,420,39,120,11,0,19,188,81,0,0,34,5,50,12,0.448,0.342,2
이대호,2022,롯데,0.331,142,591,540,53,179,23,0,23,271,101,0,0,43,2,56,26,0.502,0.379,0
최희섭,2007,KIA,0.337,52,220,199,20,67,17,0,7,105,46,3,1,18,0,37,9,0.528,0.386,1
최희섭,2008,KIA,0.229,55,207,188,17,43,2,1,6,65,22,4,3,15,3,41,4,0.346,0.295,3
최희섭,2009,KIA,0.308,131,545,435,98,134,23,0,33,256,100,2,4,96,7,108,14,0.589,0.435,5
최희섭,2010,KIA,0.286,126,532,444,78,127,22,1,21,214,84,4,3,81,4,109,17,0.482,0.398,7
최희섭,2011,KIA,0.281,70,282,242,36,68,14,1,9,111,37,1,1,39,0,61,7,0.459,0.379,5
최희섭,2012,KIA,0.252,80,301,246,31,62,17,0,7,100,42,1,1,50,2,53,9,0.407,0.379,4
최희섭,2013,KIA,0.258,78,305,252,29,65,17,1,11,117,42,1,1,44,7,72,5,0.464,0.380,5
최희섭,2015,KIA,0.256,42,149,125,18,32,3,0,6,53,20,0,0,22,1,34,2,0.424,0.369,0
김태균,2001,한화,0.335,88,289,245,51,82,13,2,20,159,54,2,0,40,4,72,4,0.649,0.436,3
김태균,2002,한화,0.255,105,344,298,25,76,11,0,7,108,34,2,1,41,2,103,13,0.362,0.347,11
김태균,2003,한화,0.319,133,573,479,67,153,24,2,31,274,95,3,2,79,9,106,13,0.572,0.424,6
김태균,2004,한화,0.323,129,556,473,76,153,26,1,23,250,106,2,1,70,6,99,11,0.529,0.412,7
김태균,2005,한화,0.317,124,529,461,73,146,33,2,23,252,100,3,1,60,6,73,20,0.547,0.401,5
김태균,2006,한화,0.291,124,511,423,66,123,27,0,13,189,73,2,0,82,2,89,18,0.447,0.405,3
김태균,2007,한화,0.290,118,491,393,62,114,13,0,21,190,85,2,1,90,2,70,13,0.483,0.420,4
김태균,2008,한화,0.324,115,484,410,81,133,27,1,31,255,92,2,0,64,5,67,8,0.622,0.417,3
김태균,2009,한화,0.330,95,389,336,63,111,15,0,19,183,62,0,0,45,6,71,12,0.545,0.416,1
김태균,2012,한화,0.363,126,513,416,61,151,24,0,16,223,80,3,1,81,11,69,11,0.536,0.474,2
김태균,2013,한화,0.319,101,430,345,41,110,24,0,10,164,52,0,3,73,8,67,14,0.475,0.444,1
김태균,2014,한화,0.365,118,508,422,66,154,30,0,18,238,84,0,2,70,11,73,18,0.564,0.463,3
김태균,2015,한화,0.316,133,524,408,61,129,28,0,21,220,104,3,1,98,12,80,19,0.539,0.457,9
김태균,2016,한화,0.365,144,652,529,94,193,39,0,23,301,136,1,0,108,9,97,11,0.569,0.475,4
김태균,2017,한화,0.340,94,407,356,51,121,22,0,17,194,76,0,0,43,4,56,13,0.545,0.413,1
김태균,2018,한화,0.315,73,271,254,25,80,11,0,10,121,34,0,1,13,4,56,7,0.476,0.358,2
김태균,2019,한화,0.305,127,500,433,47,132,21,0,6,171,62,3,0,54,5,94,15,0.395,0.382,1
김태균,2020,한화,0.219,67,254,219,14,48,11,0,2,65,29,0,0,30,2,42,8,0.297,0.316,0
김태균,2021,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
이범호,2000,한화,0.162,69,86,74,11,12,7,0,1,22,3,1,0,10,1,21,2,0.297,0.267,6
