구장,연도,득점PF,좌-중-우(m),펜스,수용인원,경기수,사용팀
서울종합운동장 야구장,1983~2024,897,100-125-100,2.6,"25,553",5192,"LG(2299), 두산(1744), OB(782), MBC(361), 해태(3), 롯데(2), 청보(1)"
목동야구장,2008~2015,1045,98-118-98,2,"10,432",525,키움(525)
고척스카이돔,2016~2024,953,99-122-99,4,"17,000",626,키움(626)
동대문야구장,1982~1989,1060,98-110-98,2,"25,000",114,"OB(53), MBC(53), 삼미(3), 해태(2), 삼성(2), 롯데(1)"
인천 SSG 랜더스필드,2002~2024,990,95-120-95,2.8,"23,000",1534,"SK(1272), SSG(262)"
케이티위즈파크,1990~2024,1016,98-120-98,4,"20,000",1313,"KT(692), 현대(559), 태평양(62)"
숭의야구장,1982~2002,1019,91-110-91,5,"12,000",1050,"태평양(425), 현대(213), 삼미(140), SK(138), 청보(133), MBC(1)"
청주야구장,1982~2024,1000,100-115-115,4.5,"9,586",338,"한화(226), 빙그레(101), OB(11)"
한화생명 이글스 파크,1982~2024,1019,99-122-100,4,"13,000",2333,"한화(1831), 빙그레(370), OB(130), 삼미(1), 태평양(1)"
군산월명종합운동장 야구장,1991~2013,1000,98-122-98,2.3,"11,000",114,"쌍방울(66), KIA(48)"
전주종합경기장 야구장,1983~1999,1047,95-110-95,2.1,"10,000",567,"쌍방울(503), 해태(64)"
광주-KIA 챔피언스 필드,2014~2024,1008,99-121-99,2.6,"20,500",755,KIA(755)
광주무등경기장 야구장,1982~2013,1042,97-119-97,3.1,"12,500",1845,"해태(1085), KIA(756), 롯데(2), 삼미(1), 쌍방울(1)"
대구시민운동장 야구장,1982~2015,1069,99-120-99,3,"10,000",2071,"삼성(2062), 삼미(6), MBC(1), 해태(1), KIA(1)"
포항야구장,2012~2023,1000,99-122-99,3,"10,492",65,삼성(65)
대구 삼성 라이온즈파크,2016~2024,1115,99-122-99,3.6,"24,000",587,삼성(587)
사직야구장,1986~2024,1067,96-121-96,6,"22,990",2281,"롯데(2280), 현대(1)"
마산종합운동장 야구장,1982~2018,992,97-116-97,3.8,"11,000",590,"NC(416), 롯데(171), OB(3)"
울산문수야구장,2014~2024,1000,97-120-97,2.4,"12,088",53,롯데(53)
구덕야구장,1982~1988,1022,88-110-88,2.2,"13,000",219,"롯데(212), 삼미(6), MBC(1)"
창원NC파크,2019~2024,1019,101-122-101,3.3,"22,112",403,NC(403)
춘천의암야구장,1982~1988,1000,98-120-98,,"10,000",13,"삼미(10), 청보(2), 태평양(1)"
제주 야구장,1984~2008,1000,100-123-100,,"8,500",12,"키움(4), 현대(3), 삼성(2), OB(2), 해태(1)"
