구장,연도,득점PF,좌-중-우(m),펜스,수용인원,경기수,사용팀
서울종합운동장 야구장,1983~2024,897,100-125-100,2.6,"25,553",5192,"LG(2299), 두산(1744), OB(782), MBC(361), 해태(3), 롯데(2), 청보(1)"
고척스카이돔,2016~2024,953,99-122-99,4.0,"17,000",626,키움(626)
인천 SSG 랜더스필드,2002~2024,990,95-120-95,2.8,"23,000",1534,"SK(1272), SSG(262)"
케이티위즈파크,1990~2024,1016,98-120-98,4.0,"20,000",1313,"KT(692), 현대(559), 태평양(62)"
청주야구장,1982~2024,1000,100-115-115,4.5,"9,586",338,"한화(226), 빙그레(101), OB(11)"
한화생명 이글스 파크,1982~2024,1019,99-122-100,4.0,"13,000",2333,"한화(1831), 빙그레(370), OB(130), 삼미(1), 태평양(1)"
광주-KIA 챔피언스 필드,2014~2024,1008,99-121-99,2.6,"20,500",755,KIA(755)
대구 삼성 라이온즈파크,2016~2024,1115,99-122-99,3.6,"24,000",587,삼성(587)
사직야구장,1986~2024,1067,96-121-96,6.0,"22,990",2281,"롯데(2280), 현대(1)"
울산문수야구장,2014~2024,1000,97-120-97,2.4,"12,088",53,롯데(53)
창원NC파크,2019~2024,1019,101-122-101,3.3,"22,112",403,NC(403)
