날짜,요일,홈,방문,구장_x,관중수,지역,구장_y,수용인원(KBO),좌석수,점유율
2023/04/01,토,키움,한화,고척,16000,고척,고척스카이돔,"17,000",16000,100.0
2023/04/01,토,SSG,KIA,문학,23000,문학,인천 SSG 랜더스필드,"23,000",23000,100.0
2023/04/01,토,KT,LG,수원,18700,수원,케이티위즈파크,"20,000",18700,100.0
2023/04/01,토,두산,롯데,잠실,23750,잠실,서울종합운동장 야구장,"25,553",23750,100.0
2023/04/01,토,삼성,NC,대구,24000,대구,대구 삼성 라이온즈파크,"24,000",24000,100.0
2023/04/02,일,키움,한화,고척,11562,고척,고척스카이돔,"17,000",16000,72.2625
2023/04/02,일,SSG,KIA,문학,23000,문학,인천 SSG 랜더스필드,"23,000",23000,100.0
2023/04/02,일,KT,LG,수원,14700,수원,케이티위즈파크,"20,000",18700,78.6096256684492
2023/04/02,일,두산,롯데,잠실,23750,잠실,서울종합운동장 야구장,"25,553",23750,100.0
2023/04/02,일,삼성,NC,대구,18483,대구,대구 삼성 라이온즈파크,"24,000",24000,77.01249999999999
2023/04/04,화,삼성,한화,대구,5936,대구,대구 삼성 라이온즈파크,"24,000",24000,24.73333333333333
2023/04/04,화,키움,LG,고척,4510,고척,고척스카이돔,"17,000",16000,28.1875
2023/04/04,화,SSG,롯데,문학,5809,문학,인천 SSG 랜더스필드,"23,000",23000,25.256521739130434
2023/04/04,화,두산,NC,잠실,3924,잠실,서울종합운동장 야구장,"25,553",23750,16.522105263157894
2023/04/05,수,키움,LG,고척,4194,고척,고척스카이돔,"17,000",16000,26.2125
2023/04/05,수,두산,NC,잠실,2172,잠실,서울종합운동장 야구장,"25,553",23750,9.145263157894737
2023/04/06,목,삼성,한화,대구,6525,대구,대구 삼성 라이온즈파크,"24,000",24000,27.187499999999996
2023/04/06,목,키움,LG,고척,4556,고척,고척스카이돔,"17,000",16000,28.475
2023/04/06,목,두산,NC,잠실,3724,잠실,서울종합운동장 야구장,"25,553",23750,15.68
2023/04/07,금,롯데,KT,사직,14734,사직,사직야구장,"22,990",22758,64.74206872308639
2023/04/07,금,KIA,두산,광주,12821,광주,광주-KIA 챔피언스 필드,"20,500",20500,62.541463414634144
2023/04/07,금,한화,SSG,대전,10415,대전,한화생명 이글스 파크,"13,000",12000,86.79166666666667
2023/04/07,금,LG,삼성,잠실,17201,잠실,서울종합운동장 야구장,"25,553",23750,72.42526315789473
2023/04/07,금,NC,키움,창원,6867,창원,창원NC파크,"22,112",17891,38.38242691856241
2023/04/08,토,롯데,KT,사직,16555,사직,사직야구장,"22,990",22758,72.74365058440988
2023/04/08,토,KIA,두산,광주,16432,광주,광주-KIA 챔피언스 필드,"20,500",20500,80.15609756097561
2023/04/08,토,한화,SSG,대전,11232,대전,한화생명 이글스 파크,"13,000",12000,93.60000000000001
2023/04/08,토,LG,삼성,잠실,22141,잠실,서울종합운동장 야구장,"25,553",23750,93.22526315789473
2023/04/08,토,NC,키움,창원,9763,창원,창원NC파크,"22,112",17891,54.569336537924094
2023/04/09,일,롯데,KT,사직,12283,사직,사직야구장,"22,990",22758,53.97222954565427
2023/04/09,일,KIA,두산,광주,14070,광주,광주-KIA 챔피언스 필드,"20,500",20500,68.63414634146342
2023/04/09,일,한화,SSG,대전,9455,대전,한화생명 이글스 파크,"13,000",12000,78.79166666666667
2023/04/09,일,LG,삼성,잠실,20439,잠실,서울종합운동장 야구장,"25,553",23750,86.05894736842106
2023/04/09,일,NC,키움,창원,7686,창원,창원NC파크,"22,112",17891,42.96014756022581
