
전/후반기,G,GS,CG,SHO,W,L,HD,S,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA
전반기,16,16,0,0,5,5,0,0,92.0,45,37,43.95,391,365,101,11,1,5,20,0,1,80,1493,1.32,0.277,0.314,0.667,3.62,1.09,7.66,0.189
후반기,6,6,0,0,1,2,0,0,33.0,22,20,22.00,149,139,44,4,0,2,7,0,1,25,570,1.55,0.317,0.351,0.739,5.45,1.06,-4.54,-0.518
월,G,GS,CG,SHO,W,L,HD,S,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA
3월,2,2,0,0,0,1,0,0,9.2,7,4,7.00,46,43,14,0,0,0,3,0,0,9,175,1.76,0.326,0.370,0.696,3.72,1.22,-2.25,-0.318
4월,5,5,0,0,2,2,0,0,28.1,21,18,19.95,121,109,27,4,0,1,10,0,0,23,455,1.31,0.248,0.308,0.620,5.72,1.08,-3.85,-0.505
5월,4,4,0,0,1,1,0,0,22.0,8,8,8.00,94,87,26,1,1,0,4,0,1,23,372,1.36,0.299,0.333,0.666,3.27,0.97,4.52,0.228
6월,4,4,0,0,2,0,0,0,25.0,7,5,7.00,102,99,27,4,0,3,3,0,0,17,387,1.20,0.273,0.294,0.698,1.80,1.20,7.19,0.700
7월,5,5,0,0,1,2,0,0,30.0,17,15,17.00,131,124,37,2,0,2,3,0,1,24,487,1.33,0.298,0.315,0.678,4.50,1.09,-0.46,-0.220
8월,2,2,0,0,0,1,0,0,10.0,7,7,7.00,46,42,14,4,0,1,4,0,0,9,187,1.80,0.333,0.391,0.891,6.30,0.92,-2.03,-0.216
요일,G,GS,CG,SHO,W,L,HD,S,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA
화,4,4,0,0,2,0,0,0,25.0,4,3,4.00,101,93,22,2,0,0,5,0,1,23,401,1.08,0.237,0.280,0.538,1.08,1.16,9.40,0.939
수,8,8,0,0,1,4,0,0,47.0,34,29,34.00,211,198,65,10,1,4,7,0,1,39,755,1.53,0.328,0.349,0.798,5.55,1.09,-7.74,-1.009
목,4,4,0,0,2,1,0,0,23.0,7,6,7.00,91,86,17,1,0,0,5,0,0,19,369,0.96,0.198,0.242,0.451,2.35,0.99,6.14,0.603
금,2,2,0,0,0,1,0,0,10.1,11,11,9.95,48,46,17,1,0,0,2,0,0,11,170,1.84,0.370,0.396,0.787,9.58,1.33,-4.33,-0.542
토,2,2,0,0,0,1,0,0,9.2,6,3,6.00,46,41,13,0,0,0,5,0,0,4,184,1.86,0.317,0.391,0.708,2.79,1.11,-1.04,-0.143
일,2,2,0,0,1,0,0,0,10.0,5,5,5.00,43,40,11,1,0,3,3,0,0,9,184,1.40,0.275,0.326,0.851,4.50,0.75,0.70,-0.178
시간,G,GS,CG,SHO,W,L,HD,S,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA
14:00,3,3,0,0,1,1,0,0,13.2,10,7,10.00,64,58,17,1,0,3,6,0,0,9,270,1.68,0.293,0.359,0.825,4.61,0.87,-2.73,-0.553
17:00,2,2,0,0,1,0,0,0,12.0,1,1,1.00,49,46,12,1,0,0,3,0,0,7,197,1.25,0.261,0.306,0.589,0.75,1.10,5.76,0.588
18:30,17,17,0,0,4,6,0,0,99.1,56,49,54.95,427,400,116,13,1,4,18,0,2,89,1596,1.35,0.290,0.321,0.679,4.44,1.11,0.09,-0.364
