연도,삼성,KIA,롯데,LG,두산,한화,SSG,키움,NC,KT,현대,쌍방울,계,연도_avg,삼성_avg,KIA_avg,롯데_avg,LG_avg,두산_avg,한화_avg,SSG_avg,키움_avg,NC_avg,KT_avg,현대_avg,쌍방울_avg,계_avg
2023,"845,775","717,025","891,745","1,202,637","969,562","566,785","1,068,211","583,629","557,607","697,350",,,"8,100,326",,"11,912","10,099","12,216","16,939","13,282","7,764","14,633","8,220","7,854","9,553",,,"11,250"
2022,"674,452","604,394","631,656","930,163","644,614","358,190","981,546","349,773","369,018","532,268",,,"6,076,074",,"9,367","8,394","8,773","12,919","8,953","4,975","13,633","4,858","5,125","7,393",,,"8,439"
2021,"278,222","104,989","138,294","116,691","98,036","103,960","118,412","67,407","128,289","74,189",,,"1,228,489",,"3,864","1,458","1,921","1,621","1,362","1,444","1,645",936,"1,782","1,030",,,"1,706"
2020,"27,819","21,198","36,717","41,317","55,047","19,962","30,608","27,158","45,992","22,499",,,"328,317",,386,294,510,574,765,277,425,377,639,312,,,456
2019,"691,681","692,163","679,208","1,000,400","983,474","555,225","982,962","453,886","710,274","536,735",,,"7,286,008",,"9,607","9,613","9,433","13,894","13,659","7,711","13,652","6,304","9,865","7,455",,,"10,119"
2018,"752,310","861,729","901,634","1,108,677","1,112,066","734,110","1,037,211","454,574","442,872","668,559",,,"8,073,742",,"10,449","11,968","12,523","15,398","15,445","10,196","14,406","6,314","6,151","9,286",,,"11,214"
2017,"704,857","1,024,830","1,038,492","1,134,846","1,094,829","593,251","892,541","699,380","531,121","686,541",,,"8,400,688",,"9,790","14,234","14,424","15,762","15,206","8,240","12,396","9,714","7,377","9,535",,,"11,668"
2016,"851,417","773,499","852,639","1,157,646","1,165,020","660,472","865,194","782,121","549,125","682,444",,,"8,339,577",,"11,825","10,743","11,842","16,078","16,181","9,173","12,017","10,863","7,627","9,478",,,"11,583"
2015,"524,971","710,141","800,962","1,053,405","1,120,381","657,385","814,349","510,802","522,669","645,465",,,"7,360,530",,"7,291","9,863","11,124","14,630","15,560","9,130","11,310","7,094","7,259","8,964",,,"10,223"
2014,"505,045","663,430","830,820","1,167,400","1,128,298","475,126","829,822","442,941","467,033",,,,"6,509,915",,"7,891","10,366","12,982","18,241","17,630","7,424","12,966","6,921","7,297",,,,"11,302"
2013,"451,483","470,526","770,731","1,289,297","1,152,615","386,893","912,042","479,619","528,739",,,,"6,441,945",,"7,054","7,352","12,043","20,145","18,010","6,045","14,251","7,494","8,262",,,,"11,184"
2012,"544,859","502,016","1,368,995","1,259,480","1,291,703","519,794","1,069,929","599,381",,,,,"7,156,157",,"8,255","7,493","20,742","18,798","19,571","7,758","16,211","8,946",,,,,"13,451"
