날짜,요일,홈,방문,구장_x,관중수,좌석수,점유율,상대,구분
2024/03/23,토,LG,한화,잠실,23750.0,23750,1.0,LG,선발
2024/03/29,금,한화,KT,대전,12000.0,12000,1.0,KT,선발
2024/04/05,금,키움,한화,고척,16000.0,16000,1.0,키움,선발
2024/04/11,목,두산,한화,잠실,22157.0,23750,0.9329263157894736,두산,선발
2024/04/17,수,NC,한화,창원,9921.0,17891,0.5545246213179811,NC,선발
2024/04/24,수,KT,한화,수원,12538.0,18700,0.6704812834224599,KT,선발
2024/04/30,화,한화,SSG,대전,12000.0,12000,1.0,SSG,선발
2024/05/08,수,롯데,한화,사직,11407.0,22758,0.5012303365849372,롯데,선발
2024/05/14,화,한화,NC,대전,12000.0,12000,1.0,NC,선발
2024/05/19,일,삼성,한화,대구,24000.0,24000,1.0,삼성,선발
2024/05/25,토,SSG,한화,문학,23000.0,23000,1.0,SSG,선발
2024/06/06,목,KT,한화,수원,18700.0,18700,1.0,KT,선발
2024/06/12,수,두산,한화,잠실,21630.0,23750,0.9107368421052632,두산,선발
2024/06/18,화,한화,키움,청주,9000.0,9000,1.0,키움,선발
2024/06/23,일,KIA,한화,광주,19085.0,20500,0.9309756097560976,KIA,선발
2024/06/23,일,KIA,한화,광주,18860.0,20500,0.92,KIA,선발
2024/07/03,수,한화,KT,대전,9009.0,12000,0.75075,KT,선발
2024/07/11,목,키움,한화,고척,15205.0,16000,0.9503125,키움,선발
2024/07/18,목,NC,한화,창원,7550.0,17891,0.4219998882119501,NC,선발
2024/07/24,수,한화,삼성,대전,11882.0,12000,0.9901666666666666,삼성,선발
2024/07/31,수,KT,한화,수원,14988.0,18700,0.8014973262032086,KT,선발
2024/08/07,수,삼성,한화,대구,17114.0,24000,0.7130833333333333,삼성,선발
2024/08/13,화,한화,LG,대전,11748.0,12000,0.979,LG,선발
2024/08/18,일,SSG,한화,문학,22545.0,23000,0.9802173913043478,SSG,선발
