
이름: 김현수(Hyun-Soo Kim),복귀년도: 2018
전/후반기,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
전반기,394,391,349,75,127,32,2,16,211,81,1,1,35,1,6,52,5,0,9,0.364,0.414,0.605,1.019,1446,0.96,44.79,3.634
후반기,117,117,104,20,37,7,0,4,56,20,0,2,12,0,0,9,4,0,1,0.356,0.419,0.538,0.957,425,0.89,8.41,0.558
월,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
3월,32,32,29,5,7,2,0,1,12,3,0,0,3,0,0,8,0,0,0,0.241,0.313,0.414,0.727,141,0.86,-0.27,-0.185
4월,110,109,93,22,36,8,1,5,61,15,1,0,17,0,3,13,3,0,0,0.387,0.482,0.656,1.138,423,0.94,15.72,1.146
5월,114,112,102,22,42,13,1,3,66,29,0,0,7,0,3,11,1,0,5,0.412,0.430,0.647,1.077,386,1.10,15.88,1.634
6월,102,102,93,19,28,8,0,5,51,25,0,1,4,1,0,13,1,0,4,0.301,0.324,0.548,0.872,351,0.85,4.22,0.094
7월,93,93,79,16,30,4,0,4,46,17,0,1,13,0,0,11,2,0,1,0.380,0.462,0.582,1.044,363,0.92,12.86,1.303
8월,58,58,55,11,21,4,0,2,31,12,0,1,3,0,0,5,2,0,0,0.382,0.414,0.564,0.978,201,0.89,5.29,0.245
9월,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,6,0.92,-0.49,-0.045
요일,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
